１８８　　地　目　別　土　地　面　積,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年１月１日現在　単位：㎡、％,,,,,,,,,,
年次,総数,,田,,畑,,宅地,,池沼,,山林,,原野,,雑種地,,その他,,,,,,,,,,,
,面積,構成比,面積,構成比,面積,構成比,面積,構成比,面積,構成比,面積,構成比,面積,構成比,面積,構成比,面積,構成比,,,,,,,,,,
平成25年,"513,056,953 ",100.0 ,"90,932,955 ",17.7 ,"12,782,957 ",2.5 ,"57,767,299 ",11.3 ,"2,016,761 ",0.4 ,"171,698,494 ",33.5 ,"107,497,518 ",20.9 ,"30,079,626 ",5.9 ,"40,281,343 ",7.8 ,,,,,,,,,,
26,"514,257,122 ",100.0 ,"90,856,997 ",17.7 ,"12,735,984 ",2.5 ,"57,860,628 ",11.3 ,"2,021,563 ",0.4 ,"172,006,846 ",33.4 ,"107,564,329 ",20.9 ,"30,086,471 ",5.8 ,"41,124,304 ",8.0 ,,,,,,,,,,
27,"514,536,852 ",100.0 ,"90,724,482 ",17.6 ,"12,688,028 ",2.5 ,"58,009,804 ",11.3 ,"2,021,078 ",0.4 ,"172,079,686 ",33.4 ,"107,607,404 ",20.9 ,"30,191,645 ",5.9 ,"41,214,725 ",8.0 ,,,,,,,,,,
28,"514,584,974 ",100.0 ,"90,621,274 ",17.6 ,"12,591,331 ",2.5 ,"58,074,156 ",11.3 ,"2,021,078 ",0.4 ,"172,050,634 ",33.4 ,"107,692,113 ",20.9 ,"30,308,645 ",5.9 ,"41,225,743 ",8.0 ,,,,,,,,,,
29,"514,626,691 ",100.0 ,"90,555,709 ",17.6 ,"12,531,580 ",2.4 ,"58,089,813 ",11.3 ,"2,020,713 ",0.4 ,"172,043,353 ",33.4 ,"107,679,784 ",21.0 ,"30,430,070 ",5.9 ,"41,242,428 ",8.0 ,,,,,,,,,,
30,"514,756,272 ",100.0 ,"90,446,562 ",17.6 ,"12,430,673 ",2.4 ,"58,161,767 ",11.3 ,"2,020,713 ",0.4 ,"171,645,445 ",33.3 ,"107,321,652 ",20.9 ,"30,840,830 ",6.0 ,"41,888,630 ",8.1 ,,,,,,,,,,
31,"515,243,972 ",100.0 ,"90,337,065 ",17.5 ,"12,365,946 ",2.4 ,"58,249,790 ",11.3 ,"2,015,497 ",0.4 ,"171,717,470 ",33.3 ,"107,371,265 ",20.9 ,"30,923,239 ",6.0 ,"42,263,700 ",8.2 ,,,,,,,,,,
令和２年,"515,827,075 ",100.0 ,"90,204,860 ",17.5 ,"12,283,424 ",2.4 ,"58,291,490 ",11.3 ,"2,014,752 ",0.4 ,"171,951,477 ",33.3 ,"107,364,243 ",20.8 ,"31,296,090 ",6.1 ,"42,420,739 ",8.2 ,,,,,,,,,,
３,"516,364,182 ",100.0 ,"90,055,188 ",17.5 ,"12,232,332 ",2.4 ,"58,235,688 ",11.3 ,"2,011,666 ",0.4 ,"172,544,289 ",33.4 ,"107,047,577 ",20.7 ,"31,668,435 ",6.1 ,"42,569,007 ",8.2 ,,,,,,,,,,
４,"516,374,485 ",100.0 ,"89,720,818 ",17.4 ,"12,199,393 ",2.4 ,"58,324,638 ",11.3 ,"2,009,058 ",0.4 ,"172,634,740 ",33.4 ,"107,140,124 ",20.7 ,"31,033,241 ",6.0 ,"43,312,473 ",8.4 ,,,,,,,,,,
　　資料　秋田市資産税課,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　注）　本表は登記に基づいた地目別土地面積を示すため、実際の土地面積とは異なる。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
