市町村コード,都道府県名,市町村名,地域,年度,給水区域内人口（人）,給水人口(人),普及率（対給水区域内人口）(%),普及率（対計画給水人口）(%),給水戸数（戸）,配水量（ｍ3/年）,有収水量（ｍ3/年）,有収率(％)
052124,秋田県,大仙市,市全域,2005(平成17),"37,369","32,560",84.84,93.03,"12,784","4,341,772","3,959,363",91.19
052124,秋田県,大仙市,市全域,2006(平成18）,"37,128","33,089",86.8,93.74,"12,962","4,135,764","3,781,045",91.42
052124,秋田県,大仙市,市全域,2007(平成19）,"38,272","33,793",88.3,95.73,"13,259","4,115,351","3,762,667",91.43
052124,秋田県,大仙市,市全域,2008(平成20）,"38,211","34,054",89.12,96.47,"13,472","4,207,723","3,847,117",91.43
052124,秋田県,大仙市,市全域,2009(平成21）,"38,035","34,058",89.54,100,"13,545","4,311,035","3,941,963",91.44
052124,秋田県,大仙市,市全域,2010(平成22）,"37,909","34,288",90.45,100,"13,629","4,423,459","4,007,974",90.61
052124,秋田県,大仙市,市全域,2011(平成23）,"37,768","34,393",91.06,100,"13,795","4,284,836","3,918,054",91.44
052124,秋田県,大仙市,市全域,2012(平成24）,"37,502","34,144",91.05,100,"13,964","4,317,605","3,947,586",91.43
052124,秋田県,大仙市,市全域,2013(平成25）,"37,424","33,706",90.07,100,"14,087","4,303,270","3,832,573",89.06
052124,秋田県,大仙市,市全域,2014(平成26）,"37,193","33,140",89.1,98.88,"14,112","4,197,860","3,750,917",89.35
052124,秋田県,大仙市,市全域,2015(平成27）,"36,903","33,017",89.47,98.51,"14,216","4,178,725","3,738,346",89.46
052124,秋田県,大仙市,市全域,2016(平成28）,"36,658","32,614",88.97,97.31,"14,456","4,229,626","3,713,623",87.8
052124,秋田県,大仙市,市全域,2017(平成29）,"36,531","32,594",89.22,97.25,"14,710","4,354,199","3,714,303",85.3
052124,秋田県,大仙市,市全域,2018(平成30）,"36,275","32,405",89.33,96.68,"14,794","4,294,955","3,622,696",84.35
052124,秋田県,大仙市,市全域,2019(令和1）,"36,020","32,108",89.14,95.8,"15,057","4,270,933","3,579,697",83.82
052124,秋田県,大仙市,市全域,2020(令和2）,"35,767","31,829",88.99,94.96,"15,120","4,538,372","3,696,959",81.46
052124,秋田県,大仙市,市全域,2021(令和3）,"35,441","31,576",89.09,94.21,"15,244","4,537,341","3,648,252",80.41
