市町村コード,都道府県名,市町村名,地域,年度,全産業(人),農業(人),林業(人),漁業(人),鉱業，採石業，砂利採取業(人),建設業(人),製造業(人),電気・ガス・熱供給・水道業(人),情報通信業(人),運輸業，郵便業(人),卸売業，小売業(人),金融業，保険業(人),不動産業，物品賃貸業(人),学術研究，専門・技術サービス業(人),宿泊業・飲食サービス業(人),生活関連サービス業・娯楽業(人),教育，学習支援業(人),医療，福祉(人),複合サービス業(人),サービス業（他に分類されないもの）(人),公務（他に分類されるものを除く）(人),分類不能の産業(人)
052124,秋田県,大仙市,全域,2020,39321,4669,130,4,86,4470,5632,224,184,1239,5767,557,367,881,1537,1419,1745,5911,797,1856,1594,252
052124,秋田県,大仙市,大曲地域,2020,17180,919,29,1,35,1726,2295,161,87,493,2807,304,225,486,783,707,992,2861,325,856,887,201
052124,秋田県,大仙市,神岡地域,2020,2372,271,9,0,4,269,364,9,10,87,322,32,15,64,89,65,108,382,65,101,104,2
052124,秋田県,大仙市,西仙北地域,2020,3746,633,23,0,2,461,584,7,20,120,504,40,21,54,123,117,118,554,82,154,120,9
052124,秋田県,大仙市,中仙地域,2020,4662,962,13,0,25,647,627,13,14,117,651,53,37,83,144,146,154,555,96,181,124,20
052124,秋田県,大仙市,協和地域,2020,2960,383,21,3,1,338,384,22,17,139,386,30,22,44,129,117,107,468,50,197,96,6
052124,秋田県,大仙市,南外地域,2020,1670,278,21,0,2,231,305,3,2,56,183,13,6,34,45,58,47,204,44,88,47,3
052124,秋田県,大仙市,仙北地域,2020,3484,457,8,0,1,391,565,7,20,148,497,51,33,68,127,105,131,511,71,155,132,6
052124,秋田県,大仙市,太田地域,2020,3247,766,6,0,16,407,508,2,14,79,417,34,8,48,97,104,88,376,64,124,84,5
052124,秋田県,大仙市,全域,2015,41500,5570,137,6,80,4740,5797,200,166,1335,6200,586,354,936,1765,1598,1665,5774,893,1751,1582,365
052124,秋田県,大仙市,大曲地域,2015,17483,1230,25,3,25,1791,2306,148,74,541,2908,305,207,481,868,810,949,2635,338,760,825,254
052124,秋田県,大仙市,神岡地域,2015,2591,355,4,0,4,299,344,8,12,92,358,45,17,77,103,94,114,389,61,101,111,3
052124,秋田県,大仙市,西仙北地域,2015,4240,804,29,0,1,512,664,13,18,116,578,48,24,61,158,121,118,568,106,159,138,4
052124,秋田県,大仙市,中仙地域,2015,4932,1015,13,0,24,669,661,5,12,133,762,63,30,97,163,165,135,554,110,178,135,8
052124,秋田県,大仙市,協和地域,2015,3269,434,36,3,3,342,408,14,19,164,430,33,27,42,126,133,89,519,67,188,120,72
052124,秋田県,大仙市,南外地域,2015,1932,320,20,0,6,274,342,2,2,64,226,15,8,31,71,60,48,234,58,82,66,3
052124,秋田県,大仙市,仙北地域,2015,3581,544,5,0,3,429,534,6,18,144,503,48,27,90,136,110,126,485,72,162,120,19
052124,秋田県,大仙市,太田地域,2015,3472,868,5,0,14,424,538,4,11,81,435,29,14,57,140,105,86,390,81,121,67,2
052124,秋田県,大仙市,全域,2010,42349,5983,149,10,79,4797,6350,217,179,1527,6608,664,345,934,1853,1732,1655,4995,793,1746,1608,125
052124,秋田県,大仙市,大曲地域,2010,17265,1277,23,1,31,1729,2423,174,87,635,3057,342,216,499,939,841,959,2134,255,780,772,91
052124,秋田県,大仙市,神岡地域,2010,2734,410,8,0,7,284,397,7,12,101,400,44,22,83,118,92,123,351,61,92,121,1
052124,秋田県,大仙市,西仙北地域,2010,4466,817,34,2,3,532,727,11,25,164,649,65,21,58,140,156,134,504,103,168,145,8
052124,秋田県,大仙市,中仙地域,2010,5256,1147,10,1,14,696,783,6,12,147,815,61,19,89,164,188,126,534,115,177,143,9
052124,秋田県,大仙市,協和地域,2010,3390,458,42,3,3,392,400,12,10,179,467,39,29,53,144,135,84,509,66,215,142,8
052124,秋田県,大仙市,南外地域,2010,2023,385,22,0,4,286,371,2,3,72,240,23,8,29,55,69,38,221,50,68,73,4
052124,秋田県,大仙市,仙北地域,2010,3671,560,3,2,8,437,631,4,19,135,545,51,20,73,154,137,126,421,72,138,133,2
052124,秋田県,大仙市,太田地域,2010,3544,929,7,1,9,441,618,1,11,94,435,39,10,50,139,114,65,321,71,108,79,2
052124,秋田県,大仙市,全域,2005,46719,7381,94,6,142,5835,7315,178,267,1483,7319,710,139,×,1761,×,1709,4357,1099,5147,1756,21
052124,秋田県,大仙市,大曲地域,2005,18410,1528,15,1,54,2079,2666,149,142,595,3384,388,107,×,879,×,960,1847,334,2481,792,9
052124,秋田県,大仙市,神岡地域,2005,2964,509,4,0,10,308,455,5,23,102,454,45,10,×,98,×,123,296,82,304,136,0
052124,秋田県,大仙市,西仙北地域,2005,5130,1095,17,0,8,671,874,5,35,170,697,65,7,×,144,×,130,444,167,434,166,1
052124,秋田県,大仙市,中仙地域,2005,5986,1385,6,0,34,852,959,7,10,146,898,72,3,×,151,×,136,493,136,540,158,0
052124,秋田県,大仙市,協和地域,2005,4027,638,21,3,1,531,537,8,17,201,560,39,5,×,145,×,97,505,114,436,168,1
052124,秋田県,大仙市,南外地域,2005,2307,516,24,0,5,344,430,0,4,43,264,15,0,×,49,×,50,194,78,196,94,1
052124,秋田県,大仙市,仙北地域,2005,3945,629,4,0,6,517,699,3,23,144,573,46,6,×,136,×,137,339,107,430,139,7
052124,秋田県,大仙市,太田地域,2005,3950,1081,3,2,24,533,695,1,13,82,489,40,1,×,159,×,76,239,81,326,103,2
